,top 3,top 3 __aporte,EEM top 3,EEM top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,EEM top 5,EEM top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,EEM top 10,EEM top 10 __aporte,SPY top 10,SPY top 10 __aporte
2026-01-19,5845.230699399851,100.0,6476.921957227323,100.0,5985.660449558208,100.0,8167.909592236709,100.0,9073.930597758515,100.0,8375.822986458148,100.0,12590.603267515758,100.0,14719.317333263536,100.0,13573.785860167774,100.0
2026-01-20,5838.70984968018,0.0,6406.416993436633,0.0,5856.654472014777,0.0,8129.418736061133,0.0,8975.155724067114,0.0,8195.30301857749,0.0,12518.439845112822,0.0,14559.08922762033,0.0,13281.236770787771,0.0
2026-01-21,5765.1361713899005,0.0,6463.342346017318,0.0,5879.427320796738,0.0,8007.736813106559,0.0,9054.906059485884,0.0,8227.16940189517,0.0,12358.155673282767,0.0,14688.456592933117,0.0,13332.879154347158,0.0
2026-01-22,5846.444415443314,0.0,6542.781305249443,0.0,5937.931395949205,0.0,8125.851797651761,0.0,9166.197133794125,0.0,8309.03501749314,0.0,12575.079317789898,0.0,14868.987909704203,0.0,13465.549858734566,0.0
2026-01-23,5862.445028057169,0.0,6538.29344391316,0.0,5898.829019214498,0.0,8135.208595248168,0.0,9159.909804323937,0.0,8254.318484766349,0.0,12548.225271020041,0.0,14858.78888992403,0.0,13376.876721844605,0.0
2026-01-26,5900.027637668229,100.0,6592.007785332806,100.0,5976.865134292273,100.0,8162.6308350296695,100.0,9195.065290772089,100.0,8323.584096513994,100.0,12555.2085345366,100.0,14853.601070598352,100.0,13427.068839639449,100.0
2026-01-27,5938.468586564895,0.0,6712.15169438079,0.0,5991.569770191354,0.0,8236.935289913954,0.0,9362.651726340751,0.0,8344.06226872711,0.0,12667.019554454,0.0,15124.318241174466,0.0,13460.102905833442,0.0
2026-01-28,5957.167033937444,0.0,6678.383488823027,0.0,5920.59729663547,0.0,8246.542406999024,0.0,9315.549103745749,0.0,8245.223606835509,0.0,12688.927629109356,0.0,15048.22921480211,0.0,13300.662753388515,0.0
2026-01-29,5999.058609936575,0.0,6666.4230827987385,0.0,5928.51872627403,0.0,8275.90068874259,0.0,9298.865762663814,0.0,8256.255257086887,0.0,12706.427647772469,0.0,15021.279140482955,0.0,13318.458299828913,0.0
2026-01-30,5859.015817403304,0.0,6525.181824850129,0.0,5916.784017671712,0.0,8113.703892990796,0.0,9101.851039550485,0.0,8239.913105857966,0.0,12513.703733690263,0.0,14703.023857935192,0.0,13292.096195836904,0.0
2026-02-02,5961.552079567272,100.0,6709.4320005542095,100.0,6104.683858794096,100.0,8233.582081047953,100.0,9319.369994561692,100.0,8462.32539109669,100.0,12678.17288241594,100.0,14992.862605216504,100.0,13589.563796531454,100.0
2026-02-03,6155.34044336295,0.0,6774.504321587988,0.0,6078.958107240374,0.0,8514.09751719171,0.0,9409.75514729423,0.0,8426.664301085535,0.0,13120.741359258507,0.0,15138.272882655996,0.0,13532.296008380656,0.0
2026-02-04,6164.333255847162,0.0,6673.71502861426,0.0,6040.590922406929,0.0,8558.055092219734,0.0,9269.759285850989,0.0,8373.479630116333,0.0,13192.255661758752,0.0,14913.049641477426,0.0,13446.887276651441,0.0
2026-02-05,6089.466758008331,0.0,6651.2333519122585,0.0,5972.478218716949,0.0,8457.885333806445,0.0,9238.532340967016,0.0,8279.061659386916,0.0,13040.27297324187,0.0,14862.812201124776,0.0,13295.262400808637,0.0
2026-02-06,6039.582250787795,0.0,6840.011942849381,0.0,6099.343346396002,0.0,8415.64783271549,0.0,9500.744930028164,0.0,8454.922361764917,0.0,12986.394378561703,0.0,15284.65587976894,0.0,13577.675345692924,0.0
2026-02-09,6131.238272545972,0.0,6862.198055942961,0.0,6103.921842665277,0.0,8539.309706771426,0.0,9531.561338428042,0.0,8461.26908276288,0.0,13166.179701283081,0.0,15334.232855186288,0.0,13587.867481532006,0.0
2026-02-10,6166.714436421249,0.0,6827.217124518217,0.0,6047.796730375539,0.0,8564.741231292257,0.0,9482.972986586237,0.0,8383.46833602586,0.0,13222.558875921875,0.0,15256.064643836897,0.0,13462.928039672102,0.0
2026-02-11,6249.949860673415,0.0,6943.791936566025,0.0,6053.7404228709665,0.0,8689.962785892158,0.0,9644.894860961038,0.0,8391.707494856088,0.0,13386.842042668348,0.0,15516.562125608429,0.0,13476.159222518245,0.0
2026-02-12,6260.111772392716,0.0,6872.669404833755,0.0,5967.020003550084,0.0,8704.077685250544,0.0,9546.105993571335,0.0,8271.495470233633,0.0,13405.722179456186,0.0,15357.632078130644,0.0,13283.111933242908,0.0
2026-02-13,6210.115252327415,0.0,6906.457258823332,0.0,5975.05384846821,0.0,8626.28247510637,0.0,9593.03716637778,0.0,8282.632002675171,0.0,13291.66120618187,0.0,15433.134244714789,0.0,13300.995979423129,0.0
2026-02-16,6219.232304972817,0.0,6907.030302235309,0.0,5975.549611363101,0.0,8744.79595356275,100.0,9693.833121024722,100.0,8383.319230225432,100.0,13411.262460754166,100.0,15534.414764607069,100.0,13402.099591279844,100.0
2026-02-17,6213.021778004399,0.0,6888.983382716273,0.0,5994.070337391895,0.0,8737.043441717471,0.0,9668.504750001144,0.0,8409.30264075217,0.0,13430.212793352877,0.0,15493.825926746971,0.0,13443.63829999857,0.0
2026-02-18,6224.092526454042,0.0,6924.050039481178,0.0,6023.266913355775,0.0,8757.474703431499,0.0,9717.719869077893,0.0,8450.263595418044,0.0,13476.606325891538,0.0,15572.693394639482,0.0,13509.12104957665,0.0
2026-02-19,6222.051735777652,0.0,6943.995872858584,0.0,6039.491699579413,0.0,8751.385932497851,0.0,9745.71331514078,0.0,8473.025947201764,0.0,13477.278939280208,0.0,15617.553028223268,0.0,13545.510371891527,0.0
2026-02-20,6251.927553025701,0.0,7103.758327693558,0.0,6093.352329164133,0.0,8789.638696106073,0.0,9969.935666630145,0.0,8548.589013549838,0.0,13534.32828879363,0.0,15976.870437966658,0.0,13666.31022607913,0.0
2026-02-23,6216.733261507705,0.0,6986.1893138205905,0.0,5997.698640256321,0.0,8742.5869799938,0.0,9804.930686078784,0.0,8414.392920835959,0.0,13536.845873268107,100.0,15812.449153412937,100.0,13551.775940801333,100.0
2026-02-24,6316.3898258008985,0.0,7120.716200726366,0.0,6062.241350044931,0.0,8858.91934334419,0.0,9993.735589907497,0.0,8504.942271997365,0.0,13695.776541205563,0.0,16116.935542689038,0.0,13697.609933826036,0.0
2026-02-25,6471.37649916752,0.0,7210.555929298787,0.0,6123.05810598883,0.0,9062.68304374529,0.0,10119.823256865811,0.0,8590.26434490843,0.0,13958.702935297575,0.0,16320.277604605046,0.0,13835.025149133167,0.0
2026-02-26,6524.4711725767265,0.0,7118.08252711969,0.0,6068.469461938377,0.0,9122.265578610393,0.0,9990.039299125321,0.0,8513.679920180393,0.0,14024.382235553663,0.0,16110.974520431902,0.0,13711.682327585155,0.0
2026-02-27,6503.215886449453,0.0,7110.6286973136985,0.0,6045.53725894662,0.0,9080.57959071297,0.0,9979.578047459981,0.0,8481.507485703964,0.0,13964.662623424452,0.0,16094.103619929352,0.0,13659.867107212563,0.0
2026-03-02,6465.132966579876,0.0,7013.811847839357,0.0,6071.3924045268495,0.0,9105.994242354356,100.0,9943.698177090238,100.0,8617.780624283692,100.0,14126.228716907117,300.0,16174.969634184354,300.0,14018.286704600854,300.0
2026-03-03,6412.460226269108,0.0,6697.964439329821,0.0,6049.864594507342,0.0,9044.37756086589,0.0,9495.911528635668,0.0,8587.223886766438,0.0,14018.962600914958,0.0,15446.57509602015,0.0,13968.580971077417,0.0
2026-03-04,6251.737780345569,0.0,6819.770090719536,0.0,6137.161302878077,0.0,8821.493821509079,0.0,9668.599171241352,0.0,8711.133499559734,0.0,13716.089313170089,0.0,15727.478370194463,0.0,14170.141042437072,0.0
2026-03-05,6375.364272864621,0.0,6642.401872885684,0.0,6090.682436226523,0.0,8989.875407956952,0.0,9417.138758186282,0.0,8645.161042208798,0.0,13952.282098428814,0.0,15318.438949153286,0.0,14062.82561378176,0.0
2026-03-06,6409.310870729625,0.0,6622.352754417897,0.0,6025.118394874877,0.0,9017.848148281775,0.0,9388.714502291565,0.0,8552.098942518343,0.0,14019.164085331133,0.0,15272.202481816556,0.0,13911.44427191784,0.0
2026-03-09,6261.050847846441,0.0,6802.60311149909,0.0,6122.6285223206605,0.0,8905.779940057597,100.0,9744.261013377438,100.0,8790.505560141539,100.0,13704.878303682297,0.0,15687.888575996187,0.0,14136.586188641588,0.0
2026-03-10,6338.104437904396,0.0,6774.126414846061,0.0,6063.341297736388,0.0,9033.825787865926,0.0,9703.4701043037,0.0,8705.384492375715,0.0,13928.480777144132,0.0,15622.216768192204,0.0,13999.697439444168,0.0
2026-03-11,6473.480297528602,0.0,6794.9146413893895,0.0,6058.826539657593,0.0,9201.135158014265,0.0,9733.247808826987,0.0,8698.902471483927,0.0,14209.453632059603,0.0,15670.157736724239,0.0,13989.273278241331,0.0
2026-03-12,6486.6309184042275,0.0,6616.57173376926,0.0,6002.018741335121,0.0,9228.533715051113,0.0,9477.783861680404,0.0,8617.341216347742,0.0,14246.356826272557,0.0,15258.870525460312,0.0,13858.109296261218,0.0
2026-03-13,6381.4021815574715,0.0,6611.4851500748055,0.0,5979.206939846282,0.0,9102.554299391857,0.0,9470.497680438786,0.0,8584.589389727289,0.0,14096.797530014437,0.0,15247.14005156331,0.0,13805.43894451776,0.0
2026-03-16,6508.98724527958,100.0,6946.835335363661,100.0,6185.777900066286,100.0,9328.577880483694,200.0,10007.620631375721,200.0,8937.597630378885,200.0,14346.618787201414,200.0,15989.895144376302,200.0,14251.501490834933,200.0
2026-03-17,6562.424807450631,0.0,6951.69160582846,0.0,6167.298760974098,0.0,9428.299480707245,0.0,10014.61658135134,0.0,8910.897817933306,0.0,14471.821274929329,0.0,16001.073076740637,0.0,14208.927140029542,0.0
2026-03-18,6631.340655847443,0.0,6787.3085596820265,0.0,6060.193116222694,0.0,9532.773381949375,0.0,9777.806136789777,0.0,8756.144903716953,0.0,14599.182169810485,0.0,15622.70400010309,0.0,13962.164925072693,0.0
2026-03-19,6620.551573715747,0.0,6838.837469451723,0.0,6084.811574576543,0.0,9529.64536890977,0.0,9852.03875576354,0.0,8791.715187455171,0.0,14614.722494195454,0.0,15741.310793606182,0.0,14018.88374065257,0.0
2026-03-20,6591.3680481564925,0.0,6539.330183933097,0.0,5938.999296521029,0.0,9475.722352817886,0.0,9420.568144311854,0.0,8581.036515850239,0.0,14509.297217895555,0.0,15051.919170050603,0.0,13682.944763912405,0.0
2026-03-23,6460.587762233676,0.0,6745.741629544011,0.0,6010.391071043158,0.0,9378.924826278993,100.0,9817.924759507876,100.0,8784.187803385263,100.0,14206.027504411944,0.0,15527.02721746841,0.0,13847.425286406526,0.0
2026-03-24,6490.16873365304,0.0,6625.83592501589,0.0,5965.978234474266,0.0,9425.423296358593,0.0,9643.41093286841,0.0,8719.27843348057,0.0,14224.823547137832,0.0,15251.033970175347,0.0,13745.101921940597,0.0
