,top 3,top 3 __aporte,^KS11 top 3,^KS11 top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,^KS11 top 5,^KS11 top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,^KS11 top 10,^KS11 top 10 __aporte,SPY top 10,SPY top 10 __aporte
2025-11-07,3535.7741688454375,0.0,3063.6640995388793,0.0,2694.9232781394853,0.0,4448.088960372373,0.0,3922.3485362139054,0.0,3564.887791210781,0.0,6524.084803042775,0.0,6012.505906728437,0.0,5685.704037999215,0.0
2025-11-10,3657.3951063919617,0.0,3144.456631472005,0.0,2738.2403778717867,0.0,4609.510781947469,0.0,4025.785616477569,0.0,3622.1883463838954,0.0,6730.532298001928,0.0,6171.062967713215,0.0,5777.093730188298,0.0
2025-11-11,3615.5008596404896,0.0,3161.8435451117275,0.0,2741.3403749536747,0.0,4563.561061602545,0.0,4048.045738034077,0.0,3626.289072307952,0.0,6688.169955657858,0.0,6205.185155251445,0.0,5783.634052159336,0.0
2025-11-12,3641.6794058971873,0.0,3179.1879803036486,0.0,2735.7013759893916,0.0,4595.230132138627,0.0,4070.2514752742427,0.0,3618.8297139189813,0.0,6795.033327000665,0.0,6239.223977933079,0.0,5771.736986502003,0.0
2025-11-13,3664.292184771253,0.0,3175.602064363349,0.0,2689.2142870240577,0.0,4611.936577963289,0.0,4065.660498038345,0.0,3557.3358460802433,0.0,6889.808887286786,0.0,6232.186541689554,0.0,5673.659304072579,0.0
2025-11-14,3606.812294033716,0.0,3042.615172304827,0.0,2679.5796817652194,0.0,4526.997982436319,0.0,3895.400011100534,0.0,3544.5910355177402,0.0,6749.006517961979,0.0,5971.196939683359,0.0,5653.332375113576,0.0
2025-11-17,3747.210817471807,100.0,3253.5942694406463,100.0,2758.413216257817,100.0,4716.439604258368,100.0,4137.484353593087,100.0,3616.5916950235214,100.0,6874.833693981948,0.0,6188.995776426897,0.0,5608.675720365062,0.0
2025-11-18,3658.290761421745,0.0,3119.7088716100993,0.0,2741.095396923227,0.0,4589.418250382373,0.0,3967.2268805266285,0.0,3593.886075280891,0.0,6659.942240579767,0.0,5934.31861231911,0.0,5573.463435179105,0.0
2025-11-19,3637.3609014182407,0.0,3114.1505114246274,0.0,2753.917237835006,0.0,4574.329748925119,0.0,3960.158504326489,0.0,3610.6969588291377,0.0,6655.824801511852,0.0,5923.745484613897,0.0,5599.534057009231,0.0
2025-11-20,3701.524304110844,0.0,3164.1836344846947,0.0,2721.4576870295386,0.0,4661.4237647328255,0.0,4023.783912622409,0.0,3568.1388166424103,0.0,6799.878887952952,0.0,6018.918625963644,0.0,5533.534121458035,0.0
2025-11-21,3614.2938246615868,0.0,3031.309312849608,0.0,2750.0257372132914,0.0,4530.2178355228425,0.0,3854.8121905109174,0.0,3605.59476139667,0.0,6601.152875721704,0.0,5766.1647337161885,0.0,5591.621477079524,0.0
2025-11-24,3690.0434515075867,100.0,3144.135592685925,100.0,2897.03619781375,100.0,4517.950784667302,0.0,3871.122931108174,0.0,3667.230791990195,0.0,6670.708338786481,100.0,5890.562917742951,100.0,5787.20774654015,100.0
2025-11-25,3675.525306086282,0.0,3135.075742487924,0.0,2921.1221262499066,0.0,4523.5020134252345,0.0,3859.9682614636854,0.0,3697.7201101704113,0.0,6681.406537903208,0.0,5873.589216691126,0.0,5835.322530792252,0.0
2025-11-26,3733.3154432089896,0.0,3228.150207057469,0.0,2929.9034219454543,0.0,4588.593930658596,0.0,3974.563412809556,0.0,3708.8359664350255,0.0,6816.072571673311,0.0,6047.964962717329,0.0,5852.864314533955,0.0
2025-11-27,3719.2903370534973,0.0,3226.438086469342,0.0,2920.4835550678026,0.0,4573.8532702834,0.0,3972.4554155320416,0.0,3696.9117709775296,0.0,6795.307755165167,0.0,6044.757291244577,0.0,5834.046901549311,0.0
2025-11-28,3700.3651404931434,0.0,3198.236854700662,0.0,2937.003919742414,0.0,4549.130515619946,0.0,3937.733492203037,0.0,3717.8241745144132,0.0,6775.968816339265,0.0,5991.92206032206,0.0,5867.048485199777,0.0
2025-12-01,3646.3252852209366,0.0,3183.533391267416,0.0,2923.188360364333,0.0,4480.645581238169,0.0,3919.630292520568,0.0,3700.335665120537,0.0,6703.306227520551,0.0,5964.375005206577,0.0,5839.450102992489,0.0
2025-12-02,3692.5782609288403,0.0,3232.3134767262577,0.0,2927.039844001251,0.0,4536.277038171838,0.0,3979.6893140972506,0.0,3705.2110889757214,0.0,6792.293110816024,0.0,6055.764881392776,0.0,5847.143944013897,0.0
2025-12-03,3738.3744438439535,0.0,3266.3435239416176,0.0,2932.0615410625196,0.0,4596.3087914379275,0.0,4021.5877921490637,0.0,3711.567834571453,0.0,6882.704949342929,0.0,6119.520444187891,0.0,5857.175439014091,0.0
2025-12-04,3724.014303762089,0.0,3254.3273384444396,0.0,2924.413166839689,0.0,4577.90907230579,0.0,4006.79322306916,0.0,3701.8860938048742,0.0,6842.3927454739605,0.0,6097.008025554593,0.0,5841.896813712756,0.0
2025-12-05,3789.752609232543,0.0,3302.3905030828473,0.0,2936.0181021182498,0.0,4652.22066124232,0.0,4065.969557323378,0.0,3716.5762713127388,0.0,6946.3858601877055,0.0,6187.054744909504,0.0,5865.079185887762,0.0
2025-12-08,3948.71801107294,100.0,3448.56584844216,100.0,3027.8452118328387,100.0,4825.98446338038,100.0,4222.82157054065,100.0,3806.230568716121,100.0,7019.718074110516,0.0,6273.5646199035355,0.0,5848.752771324131,0.0
2025-12-09,3965.6111476161723,0.0,3446.5543931524344,0.0,3024.915222431453,0.0,4843.779655306561,0.0,4220.358512806239,0.0,3802.5473503065455,0.0,7033.31623686471,0.0,6269.905419153218,0.0,5843.09304223219,0.0
2025-12-10,3938.004881496017,0.0,3444.686693844272,0.0,3048.4153034170636,0.0,4823.110423277019,0.0,4218.0714864676365,0.0,3832.088730514878,0.0,7031.026923614522,0.0,6266.507736517811,0.0,5888.487094495427,0.0
2025-12-11,3887.73069137484,0.0,3400.4626193255003,0.0,3036.464856320323,0.0,4765.35694510184,0.0,4163.918431539187,0.0,3817.0661141434475,0.0,6944.09570445619,0.0,6186.056151296009,0.0,5865.402951916912,0.0
2025-12-12,3956.9913738781493,0.0,3431.7925095537066,0.0,2994.045058324102,0.0,4817.58390046451,0.0,4202.28236079926,0.0,3763.7412178703507,0.0,7010.653451937843,0.0,6243.050884619695,0.0,5783.462531013022,0.0
