,top 3,top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,SPY top 10,SPY top 10 __aporte
2024-04-03,1868.8607157625504,0.0,1804.8074838651937,0.0,2876.5856495785342,0.0,2768.4549497528633,0.0,5117.7308934166795,0.0,4990.427760122785,0.0
2024-04-04,1826.795379938216,0.0,1771.2977798540014,0.0,2818.0605281151593,0.0,2717.0532868254345,0.0,5006.412898669227,0.0,4897.770920750191,0.0
2024-04-05,1868.854484385356,0.0,1790.0159092184306,0.0,2880.136781006804,0.0,2745.7656555142494,0.0,5093.380670375089,0.0,4949.527949260382,0.0
2024-04-08,1867.2841009097615,0.0,1792.1035471653508,0.0,2981.827053009205,100.0,2848.967953631423,100.0,5182.975390994416,100.0,5055.30042441717,100.0
2024-04-09,1833.2408757879837,0.0,1788.6970370887902,0.0,2934.1760596766626,0.0,2843.5525087163146,0.0,5107.592719265995,0.0,5045.691084676139,0.0
2024-04-10,1827.5999465175726,0.0,1771.4983764130513,0.0,2915.7104439234645,0.0,2816.211212959123,0.0,5072.123597801308,0.0,4997.175809567738,0.0
2024-04-11,1863.5547078757277,0.0,1804.4050283294043,0.0,2974.0143737493436,0.0,2868.5240365787636,0.0,5178.666322999308,0.0,5090.001367366568,0.0
2024-04-12,1836.264016208019,0.0,1781.9646256129465,0.0,2927.249191201864,0.0,2832.849765241655,0.0,5092.72532893494,0.0,5026.6997922114715,0.0
2024-04-15,1818.7543458383723,0.0,1772.3996832768278,0.0,3000.1371795586806,100.0,2917.644051131531,100.0,5054.128352327269,0.0,4999.718283733466,0.0
2024-04-16,1830.8384364740618,0.0,1773.1427812341308,0.0,3010.637666661218,0.0,2918.867305319054,0.0,5084.029644902081,0.0,5001.814470320943,0.0
2024-04-17,1819.5039595755436,0.0,1763.3604942964769,0.0,2988.9369172555694,0.0,2902.7641477979805,0.0,5044.535564850521,0.0,4974.219859849961,0.0
2024-04-18,1793.228869422335,0.0,1751.8256238047213,0.0,2954.7923746956417,0.0,2883.7759666397546,0.0,4989.492603552549,0.0,4941.6814299222915,0.0
2024-04-19,1770.740005507207,0.0,1740.6484140103228,0.0,2929.0809518212645,0.0,2865.3765503159016,0.0,4921.960312414401,0.0,4910.151916180299,0.0
2024-04-22,1781.494740549202,0.0,1754.3597395007469,0.0,3051.4576132797033,100.0,2987.947513077699,100.0,5057.299241322106,100.0,5048.829854004093,100.0
2024-04-23,1827.0049461787119,0.0,1775.8781592808664,0.0,3131.7260343761423,0.0,3024.596728982339,0.0,5185.814641956888,0.0,5110.757198636259,0.0
2024-04-24,1830.5758902973446,0.0,1766.6952049440808,0.0,3104.4496645951413,0.0,3008.956729411263,0.0,5120.23256459648,0.0,5084.32979440461,0.0
2024-04-25,1827.0373060836066,0.0,1760.7184323150086,0.0,3100.7729028609665,0.0,2998.7773559844945,0.0,5129.162095289797,0.0,5067.12938367879,0.0
2024-04-26,1837.9150357566962,0.0,1772.473594491482,0.0,3117.6774567572265,0.0,3018.798225593035,0.0,5176.656274890246,0.0,5100.959283213607,0.0
2024-04-29,1860.8799209711758,0.0,1782.5298751018759,0.0,3151.8949633499246,0.0,3035.925635647024,0.0,5324.057893902173,100.0,5229.900012200267,100.0
2024-04-30,1831.7640757781633,0.0,1752.8459737386563,0.0,3087.176672735192,0.0,2985.369334530631,0.0,5234.346623349247,0.0,5142.808155693357,0.0
2024-05-01,1827.5126121410992,0.0,1755.2046674338415,0.0,3091.969166727698,0.0,2989.386556769581,0.0,5230.861428617441,0.0,5149.728506570797,0.0
2024-05-02,1847.0230534113061,0.0,1762.5323116658026,0.0,3124.5089386472446,0.0,3001.866674653407,0.0,5301.946842592365,0.0,5171.227639456827,0.0
2024-05-03,1864.4518626524618,0.0,1782.4663069066771,0.0,3160.3107705216053,0.0,3035.817369123073,0.0,5376.36813153596,0.0,5229.713504636221,0.0
2024-05-06,1904.972177274943,0.0,1796.6794998573137,0.0,3317.6605869995433,100.0,3160.0246474671562,100.0,5572.412833177778,100.0,5371.414672748026,100.0
2024-05-07,1891.236443781043,0.0,1797.0943997279192,0.0,3295.9906997712737,0.0,3160.7543790734053,0.0,5563.468498583912,0.0,5372.655071635456,0.0
2024-05-08,1900.008822502342,0.0,1800.1128386126284,0.0,3318.1678643017685,0.0,3166.0632509525085,0.0,5594.816235115138,0.0,5381.6791000809335,0.0
2024-05-09,1926.3111179735338,0.0,1811.0880200204563,0.0,3363.4647326051777,0.0,3185.366551158201,0.0,5662.2283028345855,0.0,5414.490878951212,0.0
2024-05-10,1918.9753765521236,0.0,1806.9901396903142,0.0,3345.885511780706,0.0,3178.159142799254,0.0,5648.709510909743,0.0,5402.239715327293,0.0
2024-05-13,1999.831167821155,100.0,1909.7080770284988,100.0,3415.7556257837896,100.0,3282.9394884199482,100.0,5714.69439286903,100.0,5510.365354039759,100.0
2024-05-14,2010.6969663812438,0.0,1914.3577217480815,0.0,3433.522289342057,0.0,3290.9325960789965,0.0,5751.486405870993,0.0,5523.781666972388,0.0
2024-05-15,2060.0539741578395,0.0,1934.2982816790354,0.0,3495.6484688160826,0.0,3325.211998468285,0.0,5860.397966959673,0.0,5581.319136654485,0.0
2024-05-16,2006.1452489749815,0.0,1916.9788628202493,0.0,3410.6770001046293,0.0,3295.438545252091,0.0,5727.107695910571,0.0,5531.344835985422,0.0
2024-05-17,2004.628989415298,0.0,1923.6231263436623,0.0,3412.018742105787,0.0,3306.860560666312,0.0,5733.794312463687,0.0,5550.516519847961,0.0
2024-05-20,2110.9608389007826,100.0,2024.4789354710574,100.0,3525.1804319141634,100.0,3408.331764361092,100.0,5867.804476305907,100.0,5652.98591348042,100.0
2024-05-21,2117.2971986279213,0.0,2032.180410014089,0.0,3537.7340913529383,0.0,3421.2976588722768,0.0,5882.50709168189,0.0,5674.4908678378015,0.0
2024-05-22,2110.6732519733355,0.0,2027.3855329490511,0.0,3524.404448335108,0.0,3413.225195622283,0.0,5851.106600216179,0.0,5661.102053545583,0.0
