,top 3,SPY top 3,top 5,SPY top 5,top 10,SPY top 10
2025-07-18,6564.326495934542,6026.276321483823,9159.268784966356,8423.821037735852,14102.88806172531,13131.12342117088
2025-07-21,6527.23144054138,6029.778834859364,9127.244202964697,8428.717020642021,14135.677144250203,13238.75532069971
2025-07-22,6505.62067886417,5997.745758007541,9095.71332881422,8383.939633696486,14088.608950250533,13168.424703570143
2025-07-23,6590.421987421285,6025.7815419328745,9206.165975859467,8423.129410905622,14237.815385181193,13229.979014893428
2025-07-24,6520.8812333936075,6009.802720261164,9129.622282094233,8400.793439739395,14107.748577509146,13194.89651581371
2025-07-25,6636.059585242729,6044.498973848156,9262.73620371659,8449.293544166196,14285.511078702992,13271.074303484402
2025-07-28,6643.081645611001,6042.626029525035,9272.194957877824,8446.675451840198,14387.256796447522,13366.962137466013
2025-07-29,6725.829823363011,6109.87181145016,9402.26896207773,8540.674864124097,14541.708732274834,13515.71730061949
2025-07-30,6829.92577094513,6126.379030938351,9511.3113791441,8563.749455361047,14683.591038905246,13552.233109609715
2025-07-31,6893.633858165168,6168.32828502381,9606.270266660616,8622.388155319533,14794.883926069204,13645.029534262749
2025-08-01,6831.701542958332,6070.20884461421,9496.930337675187,8485.232047262121,14653.363007522548,13427.97839813484
2025-08-04,6884.615193348787,6075.8135482577345,9569.405118210336,8493.066573583837,14770.832456958455,13440.376627154583
2025-08-05,6865.547299963103,6046.3408645033505,9544.035797068129,8451.868228170499,14721.129399330568,13375.17976640076
2025-08-06,6850.21536944481,6095.265015943936,9563.56238734031,8520.256777611772,14757.054943664867,13483.405441251165
2025-08-07,6792.386728952806,6046.296665329906,9516.299452870328,8451.80644442424,14681.371158193522,13375.081992903766
2025-08-08,6801.0427095312125,6086.407135044592,9527.744561124997,8507.8748024933,14632.39949839402,13463.810821623672
2025-08-11,6792.309334357926,6089.3373757258105,9721.175759406553,8711.970834898599,15122.142554354303,13970.292840541959
2025-08-12,6941.609557759871,6169.792406378787,9957.880776014248,8827.077263943524,15464.001240770223,14154.874555984008
2025-08-13,6906.8289144796345,6159.839123884566,9899.687925514936,8812.837174841741,15405.17090350565,14132.039514568305
2025-08-14,6820.205349273865,6141.564379635885,9767.15442139243,8786.69163073962,15200.211978917498,14090.11319106424
2025-08-15,6848.946874511669,6159.551779369684,9809.696614684375,8812.426073127586,15261.737803700385,14131.380282410297
2025-08-18,6967.601183491528,6229.1517055227505,9823.362375458579,8768.93290787959,15256.859655276647,14061.635758858563
2025-08-19,6896.993755911198,6215.666038602922,9737.876560361035,8749.94879671512,15104.381614488546,14031.193325417138
2025-08-20,6929.773000711039,6212.89387487368,9764.362398770394,8746.046352385529,15146.846399800776,14024.935465845352
2025-08-21,6936.546127247387,6183.070058536055,9781.861994794259,8704.062618984128,15182.79464068217,13957.611428463671
